School Name,Primary School,Physical Address,Postal Address,Email,Phone,Website,Management Name,Management Position,Management Email,Management Phone
Batchelor Area School,True,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au,(08) 8976 0077,https://www.batchelorschool.com.au/,Sarah Filosi,Principal,sarah.filosi@education.nt.gov.au,(08) 8976 0077
Araluen Christian School,True,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT",admin.acc@ntschools.net,(08) 8955 3300,http://www.acc.nt.edu.au,Damien Gainsford,Principal,damien.gainsford@ntschools.net,89550121
Anula Primary School,True,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au,(08) 899 77500,http://www.anulaprimaryschool.com/,Kylie Robinson,Business Manager,kylie.robinson1@education.nt.gov.au,(08) 899 77500
Bakewell Primary School,True,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au,(08) 899 77400,http://www.bakewellprimary.nt.edu.au,Ali Brady,Principal,ali.brady@education.nt.gov.au,(08) 899 77400
Anula Pre School,False,"73 Yanyula Dr, Anula, NT",", , , ",,(08) 899 77500,,Ali Brady,Principal,ali.brady@education.nt.gov.au,(08) 899 77400
Bakewell Pre School,False,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, ",,(08) 899 77400,,Ali Brady,Principal,ali.brady@education.nt.gov.au,(08) 899 77400
Areyonga School,True,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",areyonga.school@education.nt.gov.au,(08) 8956 7303,n/a,Toby Brown,Principal,toby.brown@education.nt.gov.au,(08) 8956 7303
Barunga School,True,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au,(08) 8975 4502,n/a,Malcolm Hales,Principal,malcolm.hales@education.nt.gov.au,(08) 8975 4502
Angurugu School,True,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au,(08) 8987 6355,n/a,Alessa Fremmer,Principal,alessa.fremmer@education.nt.gov.au,(08) 8987 6355
Angurugu Pre School,False,"N/A, Angurugu, NT",", , , ",,(08) 89876255,,Alessa Fremmer,Principal,alessa.fremmer@education.nt.gov.au,(08) 8987 6355
Australian International Islamic College,True,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT",nt.admin@aiic.nt.edu.au,(03) 33721400,https://aiic.qld.edu.au/darwin-campus/,Andrew Taylor,Principal,andrew.taylor@aiic.qld.edu.au,(03) 33721400
