,,,,,,,,,
Sr. #,Title,Price,Product Version,Product Last Updated,License,SKU,Category,Tag,URL
1,Premium Membership Monthly,$15.00,,,GPL,GPL-65321,Premium Membership,,https://plugintheme.net/shop/premium-membership-monthly/
2,Dokan eCommerce Theme,$15.00,2.3.7,08.03.2021,GPL,GPL-77551,"Dokan,Multi Vendor,weDevs,WooCommerce Themes",Dokan eCommerce Theme,https://plugintheme.net/shop/dokan-ecommerce-theme/
3,Premium Membership Lifetime,$98.00,,,GPL,GPL-45458,Premium Membership,,https://plugintheme.net/shop/premium-membership-lifetime/
4,Themify Builder,$0.00,7.0.3,15.06.2023,GPL,GPL-62545,"Themify,Wordpress Plugins",Themify Builder,https://plugintheme.net/shop/themify-builder/
5,Soflyy WP All Import & Export BUNDLE,$14.49,1.1.5,02.06.2021,GPL,GPL-45773,"Bundles,Import & Export,Wordpress Plugins,WP All Import",,https://plugintheme.net/shop/soflyy-wp-all-import-export-bundle/
6,Premium Membership Yearly,$69.00,,,GPL,GPL-25561,Premium Membership,,https://plugintheme.net/shop/premium-membership-yearly/
7,Elementor PRO WordPress Page Builder + Pro Templates,$4.49,3.13.1,15.05.2023,GPL,GPL-87239,"Elementor,Page Builder,Wordpress Plugins",Elementor PRO WordPress Page Builder,https://plugintheme.net/shop/elementor-pro-wordpress-page-builder/
8,LearnDash LMS Restrict Content Pro Integration,$4.49,1.1.1,06.07.2023,GPL,GPL-11843,"LearnDash LMS,Wordpress Plugins",LearnDash LMS Restrict Content Pro Integration,https://plugintheme.net/shop/learndash-lms-restrict-content-pro-integration/
9,WordPress SEO Premium,$4.49,20.7,09.05.2023,GPL,GPL-95836,"SEO,Wordpress Plugins,Yoast",WordPress SEO Premium,https://plugintheme.net/shop/wordpress-seo-premium/
10,MainWP Backup WordPress,$4.49,4.0.2,08.03.2020,GPL,GPL-53968,"MainWP,Wordpress Plugins",MainWP Backup WordPress,https://plugintheme.net/shop/mainwp-backup-wordpress/
11,BeTheme Responsive Multi-Purpose WordPress Theme,$4.49,26.8.5,11.05.2023,GPL,GPL-97171,"Blog,Multipurpose,Technology,ThemeForest,WooCommerce Themes,Wordpress Themes","BeTheme,BeTheme - Responsive Multi-Purpose WordPress Theme,WordPress Theme",https://plugintheme.net/shop/betheme-responsive-multi-purpose-wordpress-theme/
12,Flatsome Multi Purpose Responsive WooCommerce Theme,$4.49,3.17.3,24.06.2023,GPL,GPL-83852,"eCommerce,ThemeForest,WooCommerce Themes,Wordpress Themes","Flatsome,Flatsome | Multi-Purpose Responsive WooCommerce Theme",https://plugintheme.net/shop/flatsome-multi-purpose-responsive-woocommerce-theme/
13,WP Multilingual (WPML) BUNDLE,$14.49,,,GPL,GPL-28786,"Bundles,Multilingual,Wordpress Plugins,WP Multilingual (WPML)",WP Multilingual,https://plugintheme.net/shop/wp-multilingual-wpml-bundle/
14,AffiliateWP Affiliate Area Tabs,$14.49,1.4,04.11.2021,GPL,GPL-74711,AffiliateWP,AffiliateWP - Affiliate Area Tabs,https://plugintheme.net/shop/affiliatewp-affiliate-area-tabs/
15,WP Rocket by WP Media,$4.49,3.14,16.06.2023,GPL,GPL-94457,"Cache & Minify,Wordpress Plugins,WP Rocket",WP Rocket by WP Media,https://plugintheme.net/shop/wp-rocket-by-wp-media/
16,Gravity Perks Gravity Forms Populate Anything,$4.49,2.0.6,06.07.2023,GPL,GPL-33327,"Gravity Perks,Wordpress Plugins",Gravity Perks - Gravity Forms Populate Anything,https://plugintheme.net/shop/gravity-perks-gravity-forms-populate-anything/
17,WordPress Multilingual Marketpress Add-On,$4.49,1.1.4,04.05.2018,GPL,GPL-41852,WP Multilingual (WPML),WordPress Multilingual Marketpress Add-On,https://plugintheme.net/shop/wordpress-multilingual-marketpress-add-on/
